countries,Region,Happiness.Rank,Happiness.Score,Lower.Confidence.Interval,Upper.Confidence.Interval,Economy..GDP.per.Capita.,Family,Health..Life.Expectancy.,Freedom,Trust..Government.Corruption.,Generosity,Dystopia.Residual,ISO_code,year,region,pf_rol,pf_ss,pf_movement,pf_religion,pf_association,pf_expression,pf_identity,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,pf_score,pf_rank,ef_score,ef_rank,hf_score,hf_rank,hf_quartile
Portugal,Western Europe,94,5.123,5.03,5.216,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691,1.53015,PRT,2016,Western Europe,7.165608272,9.915208954,10,9.425555556,9.5,9.55952381,9.25,5.659946793,6.979123572,9.350852752,8.376487219,7.184642765,9.043712243,14,7.51,36,8.276856122,22,1
Qatar,Middle East and Northern Africa,36,6.375,6.178,6.572,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,1.58224,QAT,2016,Middle East & North Africa,6.54629556,8.560572432,3.333333333,4.690740741,2.5,6.964285714,0,6.537882662,6.235291357,8.679786673,7.648646029,8.336798605,5.525552977,134,7.49,38,6.507776488,103,3
Romania,Central and Eastern Europe,71,5.528,5.427,5.629,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889,2.45184,ROU,2016,Eastern Europe,6.328473866,9.833493166,10,7.877407407,10,9,9.25,6.833639275,6.040355698,9.34147173,8.441503074,7.77671259,8.653232499,31,7.69,20,8.171616249,24,1
Russia,Central and Eastern Europe,56,5.856,5.789,5.923,1.23228,1.05261,0.58991,0.32682,0.03586,0.02736,2.59115,RUS,2016,Eastern Europe,3.995194231,7.531731593,3.333333333,4.596296296,5,6.146872462,9.25,6.712471159,4.962398878,9.103570417,6.838571472,6.534637242,5.714381665,130,6.83,87,6.272190833,119,3
Rwanda,Sub-Saharan Africa,152,3.515,3.444,3.586,0.32846,0.61586,0.31865,0.5432,0.50521,0.23552,0.96819,RWA,2016,Sub-Saharan Africa,5.282069945,8.534642873,6.666666667,6.04037037,2,6.261904762,9.166666667,5.716995447,7.164967817,9.345718853,7.015027267,8.163310486,6.467739051,101,7.48,40,6.973869526,71,2
Saudi Arabia,Middle East and Northern Africa,34,6.379,6.287,6.471,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,2.61482,SAU,2016,Middle East & North Africa,5.914095317,7.442087098,0,3.214814815,2,5.782049842,0,5.35,5.186017585,9.020731753,5.900602321,7.139502889,4.438732069,155,6.52,103,5.479366035,146,4
Senegal,Sub-Saharan Africa,128,4.219,4.151,4.287,0.44314,0.77416,0.40457,0.31056,0.11681,0.19103,1.97861,SEN,2016,Sub-Saharan Africa,4.682384661,7.83881086,6.666666667,9.022222222,10,8.25,2.5,6.830535435,4.252700728,7.198889674,6.665037837,6.152968394,6.774187769,91,6.22,125,6.497093885,105,3
Serbia,Central and Eastern Europe,86,5.177,5.083,5.271,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737,2.27539,SRB,2016,Eastern Europe,4.399686544,9.369652604,10,8.27037037,8,8.535714286,9.25,6.40835403,4.945954676,8.1473235,7.601756185,7.154502067,7.847943252,48,6.85,84,7.348971626,51,2
Sierra Leone,Sub-Saharan Africa,111,4.635,4.505,4.765,0.36485,0.628,0,0.30685,0.08196,0.23897,3.01402,SLE,2016,Sub-Saharan Africa,3.925095991,8.068540618,8.333333333,8.453333333,8,7.25,8.333333333,7.017647059,3.993543765,6.943524415,6.057269406,4.719437962,7.044659152,77,5.75,144,6.397329576,112,3
Singapore,Southeastern Asia,22,6.739,6.674,6.804,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706,1.99375,SGP,2016,South Asia,7.683405599,9.401703386,8.333333333,6.114814815,3.5,6.133315738,8,7.919425783,8.22709857,9.761728956,9.291176661,8.980598133,7.479423635,62,8.84,2,8.159711817,25,1
Slovenia,Central and Eastern Europe,63,5.768,5.683,5.853,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738,1.79522,SVN,2016,Eastern Europe,6.450622608,9.769114688,10,9,10,9.428571429,9.25,4.776774916,6.217592011,9.518350807,7.884030176,6.845229897,8.822791467,23,7.05,71,7.936395733,35,1
South Africa,Sub-Saharan Africa,116,4.459,4.371,4.547,1.02416,0.96053,0.18611,0.42483,0.08415,0.13656,1.64227,ZAF,2016,Sub-Saharan Africa,5.728137568,6.0446062,10,9.364814815,10,8.904761905,9.25,6.04383421,5.185801311,8.08193844,6.777461423,7.1682772,7.695143614,55,6.65,94,7.172571807,63,2
Spain,Western Europe,37,6.361,6.288,6.434,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665,2.39663,ESP,2016,Western Europe,7.01186382,9.636610285,10,7.996666667,9.5,9.214285714,9.25,6.019536903,6.803471355,9.488977918,8.050140688,7.426611809,8.758213764,27,7.56,30,8.159106882,25,1
Sri Lanka,Southern Asia,117,4.415,4.322,4.508,0.97318,0.84783,0.62007,0.50817,0.07964,0.46978,0.91681,LKA,2016,South Asia,4.518644917,8.436581039,6.666666667,6.876296296,5.5,7.226190476,1.75,8.26106118,4.926880553,6.494747822,5.891036906,6.884430365,6.040721833,121,6.49,106,6.265360917,119,3
Sudan,Sub-Saharan Africa,133,4.139,3.928,4.35,0.63069,0.81928,0.29759,0,0.10039,0.18077,2.10995,SDN,2016,Sub-Saharan Africa,3.163435126,5.548563081,5,6.49,3.5,5.69047619,0,9.441176471,2.985519957,5.530823658,2.877140582,5.942255355,4.246047171,157,5.36,153,4.803023585,157,4
Suriname,Latin America and Caribbean,40,6.269,6.073,6.465,1.09686,0.77866,0.50933,0.52234,0.12692,0.16665,3.06852,SUR,2016,Latin America & the Caribbean,4.930395401,7.220384563,10,9.486111111,9.5,8.520833333,10,7.10869573,5.21644612,5.995025905,7.204704436,6.267198877,7.788563046,50,6.36,116,7.074281523,67,2
